nl,act1,act2,act3,slot1,slot2,slot3
$food$ food that serves $food$ restaurant thats $pricerange$,inform,inform,,food,pricerange,
can i have the $addr$ and $postcode$,request,request,,addr,postcode,
can i have an $addr$ and $phone$,request,request,,addr,phone,
$pricerange$ fish restaurant,inform,,,pricerange,,
how about the $area$ part of town,inform,,,area,,
are there any restaurants in the $area$ part of town that are $pricerange$,inform,inform,,pricerange,area,
$area$ part of town i need an $pricerange$ restaurant,inform,inform,,pricerange,area,
i want to find a $pricerange$ restaurant that serves,inform,,,pricerange,,
how about one that serves $food$ food,inform,,,food,,
can i have the $phone$ and $postcode$,request,request,,phone,postcode,
how about $food$ types of food,inform,,,food,,
can i get an $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
how about $food$ food in the $area$ part of town,inform,inform,,food,area,
is there any thing else,reqalts,,,,,
the $phone$ please,request,,,phone,,
a restaurant that serves $food$ food,inform,,,food,,
can i have the $addr$ $phone$ and,request,request,,addr,phone,
$food$ kind of food,inform,,,food,,
im looking for $food$ food in $pricerange$ price range,inform,inform,,food,pricerange,
what $pricerange$,request,,,pricerange,,
derately priced,inform,,,pricerange,,
any kind in the $area$ part of town,inform,,,area,,
im looking for a $pricerange$,inform,,,pricerange,,
um in $area$,inform,,,area,,
may i have the $postcode$ please,request,,,postcode,,
$area$ $area$ part of town,inform,,,area,,
may i have the $phone$ and $addr$ please,request,request,,phone,addr,
$area$ part of town $food$ food,inform,inform,,food,area,
and the $phone$ please,request,,,phone,,
im looking for a restaurant that serves $food$ food $pricerange$ price range,inform,inform,,food,pricerange,
thats correct $food$ food,inform,,,food,,
$area$ part of town,inform,,,area,,
probably an $addr$,request,,,addr,,
im looking for a restaurant in the $area$ of town serving $food$ food,inform,inform,,food,area,
im looking for an $pricerange$ restaurant in the $area$ town,inform,inform,,pricerange,area,
what kind of $food$ is there,request,,,food,,
id like to find a $pricerange$ priced restaurant in the $area$ of town,inform,inform,,pricerange,area,
okay looking for a $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
what is the $addr$ $phone$ $pricerange$,request,request,request,addr,phone,pricerange
id like to find a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i would like to find a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
and $pricerange$ priced,inform,,,pricerange,,
id like to find an $pricerange$ restaurant in the $area$ side of town,inform,inform,,pricerange,area,
im looking for a restaurant in $area$ part of town serving $food$ food,inform,inform,,food,area,
how about an $food$ restaurant,inform,,,food,,
i would like to find a $pricerange$ priced restaurant in the $area$ part of,inform,inform,,pricerange,area,
what is the $phone$ and type of $food$,request,request,,phone,food,
id like to find a restaurant serving $food$ food,inform,,,food,,
thanks good bye,bye,,,,,
im looking for a restaurant in the $area$ of town serving $food$ food,inform,inform,,food,area,
what is the $addr$ and $pricerange$,request,request,,addr,pricerange,
id like a restaurant in the $area$ part of town serving $food$ food,inform,inform,,food,area,
id like an $food$ restaurant,inform,,,food,,
what is the $addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
im looking for an $pricerange$ restaurant in the $area$ of town,inform,inform,,pricerange,area,
id like to find a restaurant in $area$ area serving $food$ food,inform,inform,,food,area,
$pricerange$ ly,inform,,,pricerange,,
a restaurant in the $area$,inform,,,area,,
im looking for a restaurant in the $area$ part of town uh $food$ food,inform,inform,,food,area,
uh $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
a $pricerange$ priced restaurant,inform,,,pricerange,,
$pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
im looking for a restaurant in the $area$ part of town and $food$ food,inform,inform,,food,area,
yes $area$ part of town,inform,,,area,,
it deosnt matter,dontcare,,,,,
uh find a restaurant in the $area$ part of town and,inform,,,area,,
um $addr$,request,,,addr,,
uh $phone$,request,,,phone,,
$name$,inform,,,name,,
do you have $name$,inform,,,name,,
okay what was the $name$,request,,,name,,
$phone$ again,request,,,phone,,
thank you and good,bye,,,,,
okay thank you and good bye,bye,,,,,
im looking for $pricerange$ restaurants in the $area$ part of town,inform,inform,,pricerange,area,
i want to find an $pricerange$ restaurant,inform,,,pricerange,,
canope food,inform,,,food,,
$pricerange$ priced vanessa restaurant,inform,inform,,food,pricerange,
$pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
$food$ restaurant in the $area$ part of town,inform,inform,,food,area,
tailand,inform,,,food,,
$food$ food in the $area$ of town,inform,inform,,food,area,
uh huh,affirm,,,,,
hello im looking for an $pricerange$ restaurant,inform,,,pricerange,,
stop it,bye,,,,,
great can i have the $addr$ and $phone$,request,request,,addr,phone,
im looking for air tran food in the $area$ part of town,inform,inform,,food,area,
what about asian food,inform,,,food,,
im looking for asian food,inform,,,food,,
in the $area$ of town,inform,,,area,,
im looking for a modreately,inform,,,pricerange,,
chinese food im looking for sea food,inform,,,food,,
sea food,inform,,,food,,
what is a good $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
thank you good bye crosstalk,bye,,,,,
im looking for $food$ food in the $area$ part of town,inform,inform,,food,area,
great whats the $addr$ and $phone$,request,request,,addr,phone,
im looking for a $pricerange$ priced restaurant that serves,inform,,,pricerange,,
can i get a $phone$ please,request,,,phone,,
im looking for a $pricerange$ priced restaurant that serves sea food,inform,inform,,food,pricerange,
im looking for a $pricerange$ priced restaurant in the $area$ p,inform,inform,,pricerange,area,
can i get their $phone$,request,,,phone,,
i dont give a damn about chinese food i want $food$ food,inform,,,food,,
i dont give a fuck if $name$ serves $food$ food im looking for $food$ food,negate,negate,inform,food,name,food
yea whats the $addr$,request,,,addr,,
im looking for a restaurant that serves $food$ food in the $area$ part of town,inform,inform,,food,area,
are there any others,reqalts,,,,,
and whats the $phone$ for that,request,,,phone,,
what $food$ food,inform,,,food,,
does it serve $food$ type food,confirm,,,food,,
i want a restaurant in the $pricerange$ price range,inform,,,pricerange,,
um is doesnt matter,dontcare,,,,,
looking for an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
moroccon,inform,,,food,,
im looking for an $pricerange$ restaurant that serves mediteranian,inform,inform,,food,pricerange,
what is the $addr$ and $phone$ and $area$,request,request,request,addr,phone,area
what is the $phone$ and $area$,request,request,,phone,area,
what are the $addr$,request,,,addr,,
looking for $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
looking for a restaurant in the $area$ of town that sells $food$,inform,inform,,food,area,
what are the $addr$ and $postcode$,request,request,,addr,postcode,
looking for a $pricerange$ restaurant,inform,,,pricerange,,
can i have the $addr$ and the $postcode$ please,request,request,,addr,postcode,
the $postcode$ as well please,request,,,postcode,,
im good can i have the $addr$ and $phone$ please,request,request,,addr,phone,
is there any other restaurant that serves $food$ food,inform,,,food,,
are their any other restaurants that serve $food$ food,inform,,,food,,
okay can i have the $addr$ and $postcode$ please,request,request,,addr,postcode,
uh looking for a restaurant in $area$ area and that needs to serve,inform,,,area,,
uh that doesnt matter,dontcare,,,,,
uh can i have the $phone$ please,request,,,phone,,
is there one that serves $food$ food,inform,,,food,,
uh are there any that serves $food$,inform,,,food,,
are there any that serves $food$ type food,inform,,,food,,
okay can i have the $phone$ and the $postcode$ please,request,request,,phone,postcode,
looking for a restaurant in the $area$ part of town that serves $food$,inform,inform,,food,area,
are there any that serves $food$ food,inform,,,food,,
can i have the $phone$ and the $addr$ please,request,request,,phone,addr,
is there anything that serves $food$,inform,,,food,,
can i have the $phone$ and $postcode$ please,request,request,,phone,postcode,
looking for a $pricerange$ priced restaurant that serves cancun,inform,,,pricerange,,
no im looking for a $pricerange$ priced restaurant that,negate,,,pricerange,,
uh is there any restaurant that serves $food$ food,inform,,,food,,
im looking for a $pricerange$ priced rest,inform,,,pricerange,,
what about $food$ type of foo,inform,,,food,,
what about gasper $food$ type o,inform,,,food,,
kay can i have the $addr$ $phone$ and the $area$,request,request,request,addr,phone,area
was that in the east part of town $area$ part of town,inform,,,area,,
uh im looking for a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
can i get the $addr$ and $phone$ please,request,request,,addr,phone,
could i have their $phone$ as well,request,,,phone,,
looking for a $pricerange$ priced restaurant and it needs to be in the $area$ part of town,inform,inform,,pricerange,area,
uh $food$ type of food,inform,,,food,,
can i have the $phone$ and type of $food$ that,request,request,,phone,food,
can i please have the $phone$,request,,,phone,,
is there any that serve $food$ food,inform,,,food,,
im sorry i meant $food$ food,inform,,,food,,
is there an $pricerange$,inform,,,pricerange,,
is there one that serves $food$,inform,,,food,,
can i have the $phone$ and $postcode$ plea,request,request,,phone,postcode,
im looking for a restaurant in the $area$ part of town that serves food,inform,,,area,,
not $food$,negate,,,food,,
no im looking for one that serves $food$ food,negate,,,food,,
okay can i have the $addr$ and the $phone$ please,request,request,,addr,phone,
and can i have the $phone$,request,,,phone,,
im looking for a $pricerange$ priced restaurant that serves endonesian,inform,,,pricerange,,
does it serve endonesian,confirm,,,food,,
i can have the $addr$ the $phone$ and the $postcode$ of the,request,request,request,addr,phone,postcode
id like a restaurant in $area$ area that it serves $food$,inform,inform,,food,area,
id like a restaurant in the $area$ part of town that serves tur,inform,,,area,,
how about in $area$ area,inform,,,area,,
how about rest of town,inform,,,area,,
could i have the $area$ please,request,,,area,,
id like a restaurant that serves $food$ asian food,inform,,,food,,
could i have a restaurant that serves $food$ food,inform,,,food,,
could i get the $addr$ and $postcode$ please,request,request,,addr,postcode,
id like a restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
a restaurant in the $area$ that serves $food$ food,inform,inform,,food,area,
id like a $pricerange$ priced restaurant that serves $food$ food please,inform,inform,,food,pricerange,
id like a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
could i have the $food$ restaurant,inform,,,food,,
id like a restaurant in the $area$ part of town that serves $food$,inform,inform,,food,area,
what about the $addr$,request,,,addr,,
id like an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
could i have the $phone$ and $addr$ please,request,request,,phone,addr,
id like a $pricerange$ priced restaurant that serves,inform,,,pricerange,,
could i have the $addr$ and $postcode$,request,request,,addr,postcode,
id like $food$ food,inform,,,food,,
i dont care can i try again,dontcare,,,,,
stop,bye,,,,,
id like a restaurant that serves $food$ food,inform,,,food,,
id like an $pricerange$ restaurant that serves bat food,inform,,,pricerange,,
could i have their $addr$ and $phone$ please,request,request,,addr,phone,
i need a restaurant in the $area$ part of town that serves europ,inform,,,area,,
id like a restaurant in $area$ part of town that serves $food$,inform,inform,,food,area,
what about portugese,inform,,,food,,
could i have the $addr$ $phone$ and $pricerange$ please,request,request,request,addr,phone,pricerange
whats the $pricerange$ please,request,,,pricerange,,
how about $food$s,inform,,,food,,
could i have the $addr$ $phone$ and,request,request,,addr,phone,
whats the $pricerange$ again,request,,,pricerange,,
can i have the $phone$ and type of $food$ please,request,request,,phone,food,
id like a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
could i have a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
could i have the $phone$ and type of $food$,request,request,,phone,food,
could i have the restaurant that serves $food$ food,inform,,,food,,
what is the $addr$ and $phone$ worth,request,request,,addr,phone,
restaurant in the $area$ part of town that serves,inform,,,area,,
$addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
what $food$ type of food,inform,,,food,,
okay $addr$ $phone$ and $postcode$ please,request,request,request,addr,phone,postcode
restaurant in $area$ area thats,inform,,,area,,
can you give me the $addr$ and $pricerange$,request,request,,addr,pricerange,
how about $food$ foo,inform,,,food,,
restaurant in $area$ part of town serving $food$ food,inform,inform,,food,area,
okay what is the $phone$ and $area$ of the venue,request,request,,phone,area,
where is the $area$,request,,,area,,
where is the $area$ of the venue,request,,,area,,
$pricerange$ restaurant it should serve $food$ food,inform,inform,,food,pricerange,
$area$ of venue,request,,,area,,
$pricerange$ restaurant $food$ food,inform,inform,,food,pricerange,
restaurant in the $area$ part of town $food$ food,inform,inform,,food,area,
um whats the $addr$ and $postcode$,request,request,,addr,postcode,
alright thank you thats it,bye,,,,,
$addr$ and $postcode$,request,request,,addr,postcode,
alright thank you good,bye,,,,,
$phone$ $addr$,request,request,,phone,addr,
$addr$ $phone$ $area$,request,request,request,addr,phone,area
shit served $food$ food,inform,,,food,,
$addr$ and,request,,,addr,,
$pricerange$ priced priced restaurant $food$ food,inform,inform,,food,pricerange,
im looking for a $pricerange$ restaurant in the,inform,,,pricerange,,
see $phone$ and $addr$,request,request,,phone,addr,
how bout $food$ food,inform,,,food,,
how how bout $food$ food,inform,,,food,,
can i get the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
whats the $addr$ for $pricerange$ priced restaurants in the $area$ part of town,request,inform,inform,addr,pricerange,area
can i get the $addr$ $phone$ and $postcode$ please,request,request,request,addr,phone,postcode
can i get the $postcode$ please,request,,,postcode,,
looking for a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
may i have the $addr$ and the type of $food$,request,request,,addr,food,
and what type of $food$,request,,,food,,
i want to find a restaurant that serves $food$ food,inform,,,food,,
im looking for a restaurant in the $area$ of town that serves $food$ food,inform,inform,,food,area,
i dont care about the $pricerange$ what about $food$ food,dontcare,inform,,pricerange,food,
im looking for an $pricerange$ restaurant that serves belgium food,inform,,,pricerange,,
is it serving $food$ food,confirm,,,food,,
im looking for a $pricerange$ restaurant that serves $food$,inform,inform,,food,pricerange,
find a $pricerange$ priced restaurant that serves bask food,inform,inform,,food,pricerange,
how about somewhere serving $food$,inform,,,food,,
what is a $phone$,request,,,phone,,
i dont care about the $pricerange$ what is the $addr$,doncare,request,,pricerange,addr,
im looking for a restaurant serving $food$ food,inform,,,food,,
$pricerange$ priced in the $area$,inform,inform,,pricerange,area,
$pricerange$ price in $area$,inform,inform,,pricerange,area,
$pricerange$ restaurant in the $area$,inform,inform,,pricerange,area,
would like $pricerange$,inform,,,pricerange,,
$pricerange$ in the $area$,inform,inform,,pricerange,area,
another place,reqalts,,,,,
$pricerange$ range,inform,,,pricerange,,
pan asian food,inform,,,food,,
restaurant $area$ part of town $food$ food,inform,inform,,food,area,
i would like the $addr$,request,,,addr,,
i need the $addr$,request,,,addr,,
ostro asian,inform,,,food,,
hi im looking for a restaurant in the $area$ art of town,inform,,,area,,
okay im looking for $pricerange$ price range,inform,,,pricerange,,
i dont know,dontcare,,,,,
and can i have the $postcode$,request,,,postcode,,
um i dont know,dontcare,,,,,
um is that $pricerange$ priced,confirm,,,pricerange,,
uh yeah im looking for a restaurant in the $area$ part of town and that serves $food$ food,inform,inform,,food,area,
hi im looking for a restaurant in the $area$ part of town,inform,,,area,,
$pricerange$ please,inform,,,pricerange,,
thank you can i have the $phone$,request,,,phone,,
hi im looking for a restaurant that serves $food$ food,inform,,,food,,
um whats the $addr$,request,,,addr,,
okay and the $phone$,request,,,phone,,
okay thank you bye,bye,,,,,
hi i need a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
hi im looking for a rerestaurant that serves $food$ food,inform,,,food,,
okay how about $food$,inform,,,food,,
okay can i have the $phone$ and $addr$,request,request,,phone,addr,
a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
is there any $pricerange$ restaurant,inform,,,pricerange,,
restaurant in the $area$ part of town that serves airitran food,inform,inform,,food,area,
airitran,inform,,,food,,
where is the $phone$,request,,,phone,,
different kind of $food$,request,,,food,,
ah thank you goodbye,bye,,,,,
$area$ part of town serving $food$ food,inform,inform,,food,area,
$pricerange$ priced restaurant $food$ food,inform,inform,,food,pricerange,
i want a $food$ food restaurant,inform,,,food,,
i want a restaurant serving $food$ food,inform,,,food,,
i want a $food$ restaurant,inform,,,food,,
i want a $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
i want a $pricerange$ priced restaurant that serves,inform,,,pricerange,,
is there anything,reqalts,,,,,
i want a different res,reqalts,,,,,
give me a different restaurant,reqalts,,,,,
uh a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i want a $pricerange$ $food$ food restaurant,inform,inform,,food,pricerange,
i want a $food$,inform,,,food,,
$food$ food $area$ part of town,inform,inform,,food,area,
$pricerange$ $addr$ $phone$,request,request,request,pricerange,addr,phone
$food$ for in the central,inform,inform,,food,area,
may i have the $phone$ to the turkiesh,request,,,phone,,
the turkiesh,inform,,,food,,
the turkiesh food,inform,,,food,,
$pricerange$,inform,,,pricerange,,
$pricerange$,inform,,,pricerange,,
for a restaurant in $area$ area with $food$ food,inform,inform,,food,area,
ah whats the $addr$,request,,,addr,,
the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
whats the $addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
uh i want a restaurant that serves $food$ food,inform,,,food,,
a restaurant thats serving $food$ food,inform,,,food,,
im looking for a restaurant on the $area$ part of town that serves scandinavia food,inform,,,area,,
uh no,negate,,,,,
and the $phone$ and $addr$,request,request,,phone,addr,
what is the $phone$ and $addr$ please,request,request,,phone,addr,
a want a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i need $pricerange$ $food$ restaurant,inform,inform,,food,pricerange,
see the $addr$,request,,,addr,,
yeah i need to find,affirm,,,,,
$area$ area $food$ food,inform,inform,,food,area,
type of $food$ served,request,,,food,,
uh $area$ side of town $food$ food,inform,inform,,food,area,
yes $food$ restaurant,inform,,,food,,
cool whats the $addr$,request,,,addr,,
looking for something $pricerange$ priced in the $area$ side of town,inform,inform,,pricerange,area,
okay whats the $addr$ for that,request,,,addr,,
okay cool uh good bye thank you,bye,,,,,
whats the next one,reqalts,,,,,
i dont want that one whats another one,reqalts,,,,,
give me another choice,reqalts,,,,,
i dont want that give me another $food$ choice,inform,,,food,,
okay good whats the $addr$ for that one,request,,,addr,,
thats fine give me the $addr$,request,,,addr,,
looking for a $food$ restaurant,inform,,,food,,
okay cool thank you good bye,bye,,,,,
want something in the $area$ side of town thats $pricerange$ priced,inform,inform,,pricerange,area,
looking for $food$ food in the city $area$,inform,inform,,food,area,
um whats the $phone$,request,,,phone,,
um okay thank you good bye,bye,,,,,
looking for $food$ good,inform,,,food,,
cool um thank you good bye,bye,,,,,
looking for something $pricerange$ priced on the $area$ side of town,inform,inform,,pricerange,area,
oh good whats the $addr$,request,,,addr,,
for $food$ food,inform,,,food,,
i want something else,reqalts,,,,,
i want another restaurant that serves $food$ food,inform,,,food,,
dont want that,negate,,,,,
give me something else,reqalts,,,,,
give me another $food$ restaurant,inform,,,food,,
okay good whats the $addr$ and $phone$,request,request,,addr,phone,
looking for $food$ food in the $area$ side of town,inform,inform,,food,area,
how about $phone$,request,,,phone,,
yea i want $food$ food,inform,,,food,,
cool whats the $phone$,request,,,phone,,
okay how about the $addr$,request,,,addr,,
awesome thank you good bye,bye,,,,,
looking for something $pricerange$ in the $area$ side of town,inform,inform,,pricerange,area,
okay how bout their $phone$,request,,,phone,,
good whats the $addr$,request,,,addr,,
looking for something $pricerange$ priced in the $area$ of town,inform,inform,,pricerange,area,
um i want a restaurant in the $area$ side of town and i want to eat $food$ food,inform,inform,,food,area,
looking for $pricerange$ barbecue food,inform,,,pricerange,,
yes $food$ food,inform,,,food,,
okay i dont care about $pricerange$,dontcare,,,pricerange,,
okay could you give me the $addr$,request,,,addr,,
sounds good whats the $addr$,request,,,addr,,
im looking for something in the $area$ part of town that serves $food$,inform,inform,,food,area,
right in the $area$ part of town,inform,,,area,,
um how about $food$ food in the $area$ part of town,inform,inform,,food,area,
you said $food$ food,inform,,,food,,
is it $food$ food though,confirm,,,food,,
okay well thank you good bye,bye,,,,,
looking for something with $food$ on the $area$ side of town,inform,inform,,food,area,
cool give me that $phone$,request,,,phone,,
looking for $pricerange$ priced $food$ food,inform,inform,,food,pricerange,
ok what about $food$,inform,,,food,,
on the $area$ part of town,inform,,,area,,
oh no and $pricerange$,negate,,,pricerange,,
okay then any,dontcare,,,,,
okay then $area$ part of town,inform,,,area,,
eartrain,inform,,,food,,
earatrain,inform,,,food,,
asian food in the $area$ part of town,inform,inform,,food,area,
okay fine what about asian food,inform,,,food,,
what about $food$ then,inform,,,food,,
in the $pricerange$ price range,inform,,,pricerange,,
what are my other options,reqalts,,,,,
iam looking for a restaurant in the $area$,inform,,,area,,
serve $food$ food,inform,,,food,,
is there another place,reqalts,,,,,
i am looking for a $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
im looking for a restaurant in $area$ area that serves $food$,inform,inform,,food,area,
im looking for an $pricerange$ restaurant and it should,inform,,,pricerange,,
$food$ food in the $area$,inform,inform,,food,area,
whats the $phone$ and $pricerange$,request,request,,phone,pricerange,
$pricerange$ priced priced restaurant,inform,,,pricerange,,
portugese,inform,,,food,,
no $pricerange$ restaurant,negate,,,pricerange,,
no $area$,negate,,,area,,
can you give me the $addr$ please,request,,,addr,,
okay and what kind of $food$ do they serve,request,,,food,,
is $food$ food any good,inform,,,food,,
how about $food$ food in the $area$ of town,inform,inform,,food,area,
thanks bye bye,bye,,,,,
$pricerange$ priced food,inform,,,pricerange,,
okay and the $phone$ please,request,,,phone,,
thanks goodbye,bye,,,,,
im looking for a $pricerange$ pan asian food,inform,inform,,food,pricerange,
okay is there any $food$ food,inform,,,food,,
can you give me the $addr$,request,,,addr,,
very good thank you bye bye,bye,,,,,
yea im wondering if theres a $food$ restaurant in the $area$ part of,inform,inform,,food,area,
uh is there a steak house,inform,,,food,,
okay is there a $food$ restaurant in the $area$ part of town,confirm,confirm,,food,area,
excellent can you give me the $phone$ please,request,,,phone,,
alright so im very good thanks good bye,bye,,,,,
yes good afternoon im looking for a restaurant in the $area$,inform,,,area,,
is there an $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
and $phone$ please,request,,,phone,,
ah yes can i get a restaurant that serves $food$ food,inform,,,food,,
ah yes that serves $food$ food,inform,,,food,,
ah whats the $pricerange$,request,,,pricerange,,
okay and ah whats the $pricerange$,request,,,pricerange,,
whats his $addr$,request,,,addr,,
thank you and goodbye,bye,,,,,
uh yes id like an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
okay uh how about a $food$,inform,,,food,,
um $area$ part,inform,,,area,,
okay and is that $food$ food,confirm,,,food,,
uh yes iam looking for a $food$ type of food restaurant,inform,,,food,,
okay and can i get their $phone$,request,,,phone,,
uh no thats it thank you and good bye,negate,,,,,
uh yes can i find a restaurant in the $area$ part of town that serves $food$,inform,inform,,food,area,
and can i get the $addr$,request,,,addr,,
and thats all thank you and good bye,bye,,,,,
uh yes im looking for an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
okay and can i get the $addr$,request,,,addr,,
okay and what $area$ is that,request,,,area,,
okay and whats their $phone$ please,request,,,phone,,
uh yes im looking for $food$ food,inform,,,food,,
uh okay how about $food$ food,inform,,,food,,
yes and i dont care about the $pricerange$,dontcare,,,pricerange,,
okay and whats the $phone$,request,,,phone,,
uh yes i need the $area$ part of town,inform,,,area,,
uh $pricerange$ restaurant,inform,,,pricerange,,
okay what kind of $food$,request,,,food,,
okay can i get the $phone$,request,,,phone,,
uh yes im looking for a restaurant in the $area$ that serves $food$ food,inform,inform,,area,food,
okay can i get their $addr$,request,,,addr,,
okay thank you very much and good bye,bye,,,,,
uh no thank you and good bye,negate,,,,,
uh yes i want to find a restaurant in the $area$ part of town that serves,inform,,,area,,
okay how about $area$ area,inform,,,area,,
okay how about $area$ part of town,inform,,,area,,
okay and uh can i get the $addr$,request,,,addr,,
okay and uh the $phone$,request,,,phone,,
ah yes can i get ah $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
ah it doesnt matter,dontcare,,,,,
kay can i get the $phone$,request,,,phone,,
kay and ah where is it located,request,,,addr,,
okay and ah wheres it located,request,,,addr,,
okay and whats the $addr$,request,,,addr,,
okay thank you and goodbye,bye,,,,,
uh yes can i find an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
okay and can i get their $addr$,request,,,addr,,
okay uh thank you and good bye,bye,,,,,
uh yes im looking for a $pricerange$ restaurant that serves medetanian food,inform,,,pricerange,,
okay uh how bout $food$ food,inform,,,food,,
uh no im loo ah change it to $food$,negate,,,food,,
ah how bout an $pricerange$ one,inform,,,pricerange,,
kay can i get their $phone$ please,request,,,phone,,
okay ah i think thatll do it thank you and goodbye,bye,,,,,
okay and uh whats the $addr$,request,,,addr,,
uh thank you and good bye,bye,,,,,
uh yes can i find a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
and can i have the $addr$,request,,,addr,,
uh yes can i find a $pricerange$ priced restaurant and it serve it should serve $food$ food,inform,inform,,food,pricerange,
okay how about a $food$,inform,,,food,,
okay $pricerange$ price range $food$,inform,inform,,food,pricerange,
okay and what $area$,request,,,area,,
okay and uh how about the $phone$,request,,,phone,,
uh yeah can i find a restaurant in the $area$ part of town serving $food$ food,inform,inform,,food,area,
okay and whats the $pricerange$,request,,,pricerange,,
okay and $pricerange$,request,,,pricerange,,
uh yes im looking for an $pricerange$ restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
uh yes an $pricerange$ restaurant,inform,,,pricerange,,
okay how about an $pricerange$,inform,,,pricerange,,
okay is that an $pricerange$ restaurant,confirm,,,pricerange,,
okay and can i have their $phone$,request,,,phone,,
thank you and good bye,bye,,,,,
uh yes $food$ food,inform,,,food,,
okay $pricerange$ $food$ food,inform,inform,,food,pricerange,
does it serve $pricerange$ $food$ food,confirm,confirm,,food,pricerange,
okay $pricerange$ price range,inform,,,pricerange,,
uh yes im looking for a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
uh yes a $pricerange$ restaurant,inform,,,pricerange,,
okay and uh whats their $phone$ please,request,,,phone,,
okay and um thank you and good bye,bye,,,,,
uh yes restaurant that serves $food$ food,inform,,,food,,
uh doesnt matter,dontcare,,,,,
okay and can i get the $phone$,request,,,phone,,
how about the $pricerange$ price range,inform,,,pricerange,,
okay and thank you and good bye,bye,,,,,
ah yes im looking for $food$ food and i dont care about the $pricerange$,inform,doncare,,food,pricerange,
ah yes im looking for $food$ food though,inform,,,food,,
okay ah how bout $food$,inform,,,food,,
okay ah how bout $food$ food,inform,,,food,,
okay um well how bout $food$,inform,,,food,,
ah yes,affirm,,,,,
okay and ah can i get their $phone$ please,request,,,phone,,
okay and they serve $food$ food correct,inform,,,food,,
okay uh thank you and goodbye,bye,,,,,
fancy restaurant $food$ food,inform,,,food,,
no $area$,negate,,,area,,
$area$ town,inform,,,area,,
restaurant $area$ area $food$ food,inform,inform,,food,area,
anything else $food$,inform,,,food,,
down town,inform,,,area,,
cambridge $food$ food,inform,,,food,,
north $area$,inform,,,area,,
$pricerange$ restaurant $food$,inform,inform,,food,pricerange,
yes id like to find a $pricerange$,inform,,,pricerange,,
$food$ food $area$ of town,inform,inform,,food,area,
fuck $name$,negate,,,name,,
can you do anything else beside repeat yourself,dontcare,,,,,
yes right,affirm,,,,,
$pricerange$ turk $food$,inform,inform,,food,pricerange,
a $pricerange$ restauran,inform,,,pricerange,,
$pricerange$ priced $area$ of town,inform,inform,,pricerange,area,
$pricerange$ restaurant $area$ of town,inform,inform,,pricerange,area,
i would like an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
i want the $addr$ $phone$ and $area$,request,request,request,addr,phone,area
in the $area$ of town,inform,,,area,,
uh i want $food$ food,inform,,,food,,
looking for a $pricerange$ priced restaurant in the $area$ part of,inform,inform,,pricerange,area,
can i have a $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i am looking for a $food$ restaurant in the $area$ part of town,inform,inform,,food,area,
can i have an $food$ restaurant in the,inform,,,food,,
can i have a $food$ restaurant in the $area$ please,inform,inform,,food,area,
can i have $postcode$,request,,,postcode,,
can i have a $food$ food,inform,,,food,,
